,Countries,Raw_Score_08,GHI_08,Average dietary energy supply adequacy,Average value of food production,"Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers",Average protein supply,Average supply of protein of animal origin,Percent of paved roads over total roads,Road density (per 100 square km of land area),Rail lines density (per 100 square km of land area),Gross domestic product per capita (in purchasing power equivalent),Domestic food price level index,Prevalence of undernourishment,Depth of the food deficit,Prevalence of food inadequacy,Cereal import dependecy ratio,Percent of arable land equipped for irrigation,Value of food imports in total merchandise exports,Political stability and absence of violence/terrorism,Domestic food price volatility index,Per capita food production variability,Per capita food supply variability,Percentage of population with access to improved water sources,Percentage of population with access to sanitation facilities,Percentage of children under 5 years of age affected by wasting,Percentage of children under 5 years of age who are stunted,Percentage of children under 5 years of age who are underweight,Prevalence of anaemia among pregnant women,Prevalence of anaemia among children under 5 years of age,undernourished,wasting,stunting,underfive,score
56,Iraq,NA,NA,114,74,63,60,11,,9.4,0.5,12195.7,4.82,25.9,209,32.1,61.4,90.8,10,-2.48,43.8,5.4,34,84.2,81.7,,,,32,36.9,25.1,6.4,23.8,4.1,23.6
57,Jamaica,5.1,1,115,190,39,77,39,,201.3,,8947.9,4.73,8,56,15.2,99.6,24.6,41,-0.26,10.9,7.5,12,93.7,81.4,2.1,5.2,2,31.8,30.8,6.8,3.9,4.9.1,2.1,8.2
58,Jordan,4.9,0,137,183,49,82,29,100,8.8,0.3,10896.6,4.61,<5.0,12,<5.0,96.7,53.8,30,-0.36,10.9,6.9,32,96.9,98.3,,,,28.8,34.1,1.9,2.1,9.4.9,2.4,6.4.9
59,Kazakhstan,4.9,0,135,434,39,96,54,89.9,3.4,0.5,18796.7,,<5.0,21,6.7,-83.7,7,4,0.57,,23,90,93.3,97.3,,,,29,31.6,4.9.4.9,4.9,17.4.9,3.3,12.3
60,Kenya,19.9,2,99,165,56,59,17,14.6,11,,2390.4,4.7,25.7,165,37.2,34.3,2.6,27,-1.38,34.7,8.1,60,58.5,28.7,,,,40.9,51.1,31.8,7.7,40.9,9.8,36.6
61,Kuwait,4.9,0,143,76,41,110,60,,35.6,,91864.5,2.42,<5.0,11,<5.0,98.6,97.5,3,0.46,8.7,5.5,37,99,100,2.2,5.1,2.3,25.6,26.5,1.4.9,3.3,4.4.9,1.2,4.9
62,Kyrgyzstan,4.9,0,117,285,54,85,35,,,0.2,2790.9,,8.7,61,15.7,23.6,79.8,25,-0.58,,11.2,37,84.6,92.6,,,,31.2,37.6,10.4,3.4,18.1,4,14.3
63,Lao People's Democratic Republic,20.6,3,100,224,73,62,13,13.5,14.8,,3537.2,8.22,24.2,171,35.1,-4.4,23,11,0.02,9.3,4.2,19,63.3,52.6,,,,38.7,42,29.4.9,7.3,47.6,9.7,36.9
64,Latvia,4.9,0,132,367,33,97,59,,102.6,3.5,21021.2,2.89,<5.0,,,-92.7,0.1,12,0.23,11.7,15.6,68,98.8,84.8,,,,25.7,25.3,1.9,3.6,4.9.8,1.3,4.9.4
65,Lebanon,4.9,0,129,277,39,82,33,,,,14422.3,,<5.0,29,8.4,87.1,86.7,41,-1.9,,12.4,37,95.3,81.3,,,,27.3,24.3,3.4.9,6.6,16.4.9,1.4,10.4
66,Lesotho,14.3,2,116,59,81,73,11,,,,2041,5.78,11.4,76,18,80.3,0.9,21,-0.22,5,2.5,19,80.5,27.6,,,,32.4,48.1,11,4.9.6,45.2,12.3,30.2
67,Liberia,31.8,30,105,83,67,37,6,,,,673.2,,35.5,285,42.5,63.7,0.7,108,-1.28,,3.1,40,69.4,15.1,,,,55.5,73.1,39.7,7.8,39.4,11.8,41.4.9
68,Libya,4.9,0,,,,,,,,,28652.4,,,,,93,27,4,0.81,,3.5,,,96.6,,,,29.5,30.7,0,6.4.9,21,2.3,0
69,Lithuania,4.9,0,139,537,39,125,76,29.2,124.1,2.7,23244.9,3.56,<5.0,,,-84,0.2,9,0.73,7.2,23.1,103,94.2,89.7,,,,25.1,25.6,2.4.9,3.2,4.9.6,1,4.9.1
70,"Macedonia, the former Yugoslav Republic of",4.9,0,118,358,37,79,32,60,54.2,2.7,11102.1,5.28,<5.0,,,26.3,30.5,17,-0.3,11.1,10.6,,99.3,90.5,,,,25.6,23.9, FYR,6.3,3.4,11.4.9,1.4
71,Madagascar,28.8,3,98,154,79,48,11,,,0.1,1528.3,7.41,31.7,216,41.5,7.9,31.9,26,-0.49,5.2,7,46,45,11.1,,,,37.2,54.7,37.4,15.2,4.92.8,8.2,44.4
72,Malawi,21.8,3,110,161,71,61,6,,,0.7,685.4,8.94,22.2,149,29.6,5.8,2.1,19,-0.06,20.8,15.2,28,77.4,37.9,,,,41.2,69.7,27.7,6.3,4.92.4.9,12.1,39.1
73,Malaysia,6.5,1,121,461,46,78,42,79.9,37.1,0.5,20621.3,2.73,<5.0,26,8.9,75.4,41,5,0.08,7.5,6.4,24,96.7,94.6,,,,28.2,31,3.9,14.7,17.2,0.8,14.6
74,Mali,26.9,3,134,234,67,81,26,25.1,1.7,,1480,7.4,5.3,31,8.8,5,5.6,17,0.18,12.8,7.3,43,62.8,21.5,,,,62.9,81.3,10.1,15.3,38.4.9,17.2,38.3
75,Mauritania,17.6,2,127,130,51,81,32,,,0.1,3363.8,10.01,8.3,54,13.4,73.5,10.9,23,-0.65,6.6,1.5,63,51.9,33.2,8.1,23,15.9,46.6,73.3,11.4,13.4,28.9,11,29.6
76,Mauritius,5,1,128,206,49,88,39,98,99.4,,14614.6,4.84,5.1,37,10.3,100,26,24,0.85,7.8,9.6,25,99.6,92.4,,,,33.1,46.1,4.9.3,2,15.4.9,2,8.9
77,Mexico,4.9,0,130,278,44,87,41,36,18.6,1.4,15813.3,3.46,<5.0,29,8.3,27.9,27.1,6,-0.8,7,3.1,25,93,80.9,,,,23.8,27,18.4,4.9.8,11.3,2.2,15.7
78,"Moldova, Republic of",5.4,1,112,382,46,72,32,85.8,37.7,3.4,3889.7,5.06,<5.0,,,-10.1,12.6,23,-0.27,12.4,40.1,51,86.9,74.7,,,,28.5,30.4,34.9,2.7,27.4.9,4.6,27
79,Mongolia,12.1,2,102,290,47,78,47,,,0.1,7572.1,5.11,27.9,223,39.2,46.4,12.2,11,0.57,26,17.9,15,62,55.1,,,,24.9,24.3,0,4.2,7.9,0,0
80,Morocco,6.5,1,139,256,62,92,22,62,13,0.4,6151.3,5.62,5.4,39,9.4,40.2,19,20,-0.6,9.2,18.8,30,82.5,71.9,,,,33.5,34.7,4.9.4.9,10.8,23.1,4.1,17.7
81,Mozambique,26.3,3,104,94,73,44,5,20.8,3.8,0.4,852,8.13,33.3,244,41.1,28.1,2.1,25,0.34,8.6,5.1,47,47,17.9,4.2,43.7,18.3,49.3,68,37.3,4.9.4,47,13.3,42.4
82,Myanmar,15,2,105,318,53,76,29,49.8,4.6,,,9.19,23,171,34.5,-2.7,21.2,7,-1.11,29.2,10,15,75.8,73.8,,,,35.7,39.4,36.9,10.7,40.6,6.7,37.4
83,Namibia,14.3,2,91,188,55,60,24,14,5.3,,8171.5,3.39,34.3,250,46.7,59.3,1,6,1.19,6.2,14.7,22,85.6,31.3,,,,34.9,49.8,25.4,7.4.9,29.6,7.3,28.8
